STDNT_BACKGROUND,Student_Count,Retention_Rate
BGD 1,2082,77.1
BGD 2,106,77.4
BGD 3,947,82.0
BGD 4,139,81.3
BGD 5,8,50.0
BGD 6,94,85.1
BGD 7,19,63.2
BGD 8,5,80.0
