financial_stress_level,Student_Count,Retention_Rate,Avg_Unmet_Need
Low Stress,26,84.6,-359702.308
Moderate Stress,126,84.1,-336055.81
High Stress,2631,79.2,-11263.992
Severe Stress,617,75.4,529790.292
